Review,Aspect,Sentiment
The truffle risotto was creamy and packed with flavor,Food,Positive
Our server forgot half our order and never apologized,Service,Negative
Exposed brick walls and dim candlelight made it feel intimate,Ambience,Positive
The burger was dry and clearly overcooked,Food,Negative
Host sat us immediately even though we didn't have a reservation,Service,Positive
Tables were crammed so close we could hear every neighboring conversation,Ambience,Negative
Fresh sushi rolls with perfectly seasoned rice,Food,Positive
We waited over an hour for our entrees with no update from staff,Service,Negative
Open rooftop seating with a gorgeous skyline view,Ambience,Positive
The soup was bland and clearly from a can,Food,Negative
Bartender remembered our names and our usual order,Service,Positive
The air conditioning was broken and the dining room was stifling,Ambience,Negative
Wood-fired pizza had a perfectly crispy crust,Food,Positive
Manager comped our dessert after a mix-up with the bill,Service,Positive
Flickering fluorescent lights gave the place a cafeteria feel,Ambience,Negative
The pasta was undercooked and the sauce tasted watery,Food,Negative
Waitstaff were knowledgeable about every wine pairing we asked about,Service,Positive
Soft jazz playing in the background set a relaxing mood,Ambience,Positive
Portions were tiny for the price we paid,Food,Negative
Our waiter was dismissive and seemed annoyed by our questions,Service,Negative
The patio garden was filled with fresh herbs and flowers,Ambience,Positive
Steak was cooked exactly to the temperature we requested,Food,Positive
Took fifteen minutes just to get water refilled,Service,Negative
The dining room smelled strongly of grease from the kitchen,Ambience,Negative
Decadent chocolate lava cake with a perfectly gooey center,Food,Positive
Staff checked in regularly without being intrusive,Service,Positive
Mismatched furniture gave the space a thrown-together feel,Ambience,Negative
The fish was fresh and cooked with a delicate touch,Food,Positive
Cashier short-changed us and was rude when we pointed it out,Service,Negative
Floor-to-ceiling windows let in beautiful natural light,Ambience,Positive
Fries were soggy and clearly sitting under a heat lamp,Food,Negative
Chef came out personally to check on our meal,Service,Positive
The restroom was dirty and out of soap,Ambience,Negative
Handmade dumplings bursting with flavorful broth,Food,Positive
Servers were constantly rushing us to free up the table,Service,Negative
Live acoustic music added a charming touch to dinner,Ambience,Positive
The curry was way too salty to enjoy,Food,Negative
Front desk staff were warm and made great recommendations,Service,Positive
Dim lighting made it hard to even read the menu,Ambience,Negative
Perfectly seared scallops with a delicate butter sauce,Food,Positive
Waiter mixed up our orders twice during the meal,Service,Negative
Cozy fireplace made the dining room feel warm and inviting,Ambience,Positive
The bread basket was stale and clearly not fresh,Food,Negative
Staff handled a large group reservation smoothly and efficiently,Service,Positive
Constant kitchen noise carried into the dining area,Ambience,Negative
Tender braised short ribs that fell apart with a fork,Food,Positive
We were ignored for twenty minutes before anyone took our order,Service,Negative
Tasteful minimalist decor gave the place an upscale feel,Ambience,Positive
The salad dressing was overpoweringly vinegary,Food,Negative
"Sommelier gave thoughtful, unhurried wine recommendations",Service,Positive
Outdoor heaters kept the patio comfortable even in winter,Ambience,Positive
The chicken was rubbery and clearly reheated,Food,Negative
Busser cleared plates quickly without interrupting conversation,Service,Positive
Peeling wallpaper made the entrance look run down,Ambience,Negative
"Rich, velvety tomato bisque with a perfect balance of spice",Food,Positive
Hostess gave us a table even after we arrived fifteen minutes late,Service,Positive
The noise level made it impossible to hold a conversation,Ambience,Negative
Lamb chops were seasoned beautifully and cooked medium rare,Food,Positive
Manager argued with us instead of resolving the complaint,Service,Negative
Vintage artwork on the walls gave the room real character,Ambience,Positive
The rice was undercooked and crunchy,Food,Negative
Server split the bill accurately without being asked twice,Service,Positive
Single dim bulb left half the dining room in shadow,Ambience,Negative
Crispy duck confit with a perfectly rendered skin,Food,Positive
Kitchen sent out the wrong dish and never corrected it,Service,Negative
Plants and greenery throughout gave the space a fresh feel,Ambience,Positive
